
2026/02/03 (21:49:47) | ===> btop++ v.1.4.0
2026/02/03 (21:49:47) | WARNING: Intel GPU: Failed to initialize PMU

2026/02/03 (21:50:01) | ===> btop++ v.1.4.0
2026/02/03 (21:50:01) | WARNING: Intel GPU: Failed to initialize PMU

2026/02/03 (21:50:12) | ===> btop++ v.1.4.0
2026/02/03 (21:50:12) | WARNING: Intel GPU: Failed to initialize PMU

2026/02/03 (22:01:20) | ===> btop++ v.1.4.0
2026/02/03 (22:01:20) | WARNING: Intel GPU: Failed to initialize PMU

2026/02/04 (10:07:27) | ===> btop++ v.1.4.0
2026/02/04 (10:07:27) | WARNING: Intel GPU: Failed to initialize PMU
